"URL","Status","No. of content words","Title","Title length","Meta description"
"http://localhost:3000/","200 OK","1321","Tamil Calendars 365","19","Daily Tamil calendar with day details, festivals, holidays, and share options. Browse by date using a clean calendar-style experience."
"http://localhost:3000/tamil-monthly-calendar","200 OK","748","Tamil Monthly Calendar","22","Tamil monthly calendar with day-wise details including festivals, holidays and important observances."
"http://localhost:3000/tamil-events/2025","200 OK","1330","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/tamil-events/2024","200 OK","1309","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/tamil-wedding-dates/2025","200 OK","1185","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/tamil-wedding-dates/2024","200 OK","1084","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/tamilnadu-government-holidays/2025","200 OK","1287","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/tamilnadu-government-holidays/2024","200 OK","1293","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/gowri-panchangam","200 OK","1046","Gowri Panchangam Timings | Tamil Daily Calendar","47","Gowri Panchangam timings from 6 AM to next 6 AM with day/night slots for all weekdays, plus a complete guide."
"http://localhost:3000/subha-oraigal","200 OK","935","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/vastu-days","200 OK","617","வாஸ்து செய்யும் நாட்கள் | Tamil Daily Calendar","46","Vāsthu Nāḷ (வாஸ்த்து நாள்) — house-related auspicious morning windows with Tamil month/day, weekday, English date, and timings."
"http://localhost:3000/manai-adi-sashtiram","200 OK","635","மனையடி சாஸ்திரம் | Tamil Daily Calendar","39","மனையடி சாஸ்திரம் (Manaiyadi Sastram) — வீட்டின்/ப்ளாட்டின் 'அடி' அளவுகளுக்கான பாரம்பரிய குறிப்புகள்."
"http://localhost:3000/lizard-astrology","200 OK","550","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/disclaimer","200 OK","604","Disclaimer | Tamil Daily Calendar","33","Disclaimer for Tamil Daily Calendar. Informational purpose, calculation basis, regional scope, limitations of liability, and contact details."
"http://localhost:3000/privacy-policy","200 OK","320","Privacy Policy | Tamil Daily Calendar","37","Privacy Policy for Tamil Daily Calendar. Learn about cookies, ads, analytics, third-party services, and your choices."
"http://localhost:3000/about","200 OK","278","About Us | Tamil Daily Calendar","31","Tamil Daily Calendar simplifies Tamil Panchang concepts into fast, human-readable daily cards for everyday planning."
"http://localhost:3000/404","200 OK","37","Tamil Daily Calendar","20","View daily Tamil calendar images, religious festivals, and events."
"http://localhost:3000/_not-found","404 Not Found","0","","0",""
"http://localhost:3000/about","200 OK","278","About Us | Tamil Daily Calendar","31","Tamil Daily Calendar simplifies Tamil Panchang concepts into fast, human-readable daily cards for everyday planning."
